County,Establishment Name,Establishment Address,Establishment City,Establishment State,Establishment Zip Code,Telephone Number,Application Approval Code,Date Licensed
83,WESTBRIDGE INN AND SUITES,106 SOUTH BAIRD ST,CLINTON,MO,64735,(660) 885-2206,AP,09/13/2018
209,SHADY ACRE MOTEL,8722 ST HWY 76,REEDS SPRING,MO,65737,(417)338-2316,AP,09/21/2018
203,MOTEL 60,17513 BUCKNER DRIVE,WINONA,MO,65588,(573)325-4416,AP,10/30/2018
153,"LAKE HARBOUR RESORT, LLC",77 PONTIAC COVE RD,PONTIAC,MO,65729,417-679-3676,AP,10/04/18
29,DAY'S INN,4755 OSAGE BEACH PARKWAY,OSAGE BEACH,MO,65065,573-693-9371,AP,09/20/2018
189,NORTHWEST AIRPORT INN,3570 N LINDBERGH BLVD,ST ANN,MO,63074,(314)291-4940,AP,10/01/18
189,ROBINSON MOTEL,7104 PAGE,PAGEDALE,MO,63133,314-726-5303,AP,09/13/2018
37,HIGHLAND INN,22101 SE OUTER ROAD,PECULIAR,MO,64078,(816)779-6808,AP,09/07/18
153,TURKEY CREEK RANCH,1389 COUNTRY ROAD 634,THEODOSIA,MO,65761,(417)273-4362,AP,10/01/18
183,HOLIDAY INN EXPRESS,1175 TECHNOLOGY DR,O'FALLON,MO,63304,636-300-4844,AP,10/30/2018
7,AMERICAS VALUE INN,4224 S. CLARK,MEXICO,MO,65265,573-581-8350,AP,10/02/18
71,STANTON MERAMEC KOA,74 HIGHWAY W,SULLIVAN,MO,63080,573-927-5215,AP,09/28/2018
77,COMFORT INN SOUTH,3776 S GLENSTONE AVE,SPRINGFIELD,MO,65804,(417)889-8188,AP,09/28/2018
189,EXTENDED STAY AMERICA ST LOUIS AIRPORT CENTRAL#9674,11252 LONE EAGLE,BRIDGETON,MO,63044,314-739-0600,AP,10/25/2018
189,COURTYARD BY MARRIOTT,828 NORTH NEW BALLAS RD,CREVE COEUR,MO,63146,(314)993-0515,AP,09/28/2018
19,YATES HOUSE BED & BREAKFAST,305 2ND STREET,ROCHEPORT,MO,65279,573-698-2129,AP,09/28/2018
47,HARRAH'S HOTEL,1 RIVERBOAT DR,NORTH KANSAS CITY,MO,64116,(816)472-7777,AP,11/30/2018
53,DAYS INN,2401 PIONEER RD,BOONVILLE,MO,65233,(660) 882-8624,AP,09/28/2018
77,GREENSTAY INN & SUITES,222 N INGRAM MILL RD,SPRINGFIELD,MO,65802,(417)863-1440,AP,09/28/2018
29,BUCCANEER BAY,82 ALOHA LANE,SUNRISE BEACH,MO,65079,573-374-8400,AP,10/02/18
183,EXTENDED STAY AMERICA #172,5555 VETERANS MEMORIAL PARKWAY,ST PETERS,MO,63376,636-926-2800,AP,09/19/2018
85,HICKORY RIDGE HWY 83 MARINA & RESORT,,FLEMINGTON,MO,65650,417-282-6341,AP,10/04/18
213,OZARK VALLEY INN,2693 SHEPERD HILLS EXP,BRANSON,MO,65616,(417)336-4666,AP,10/11/18
43,SUPER 8 MOTEL - NIXA,418 MASSEY BLVD,NIXA,MO,65714,(417)725-0880,AP,10/02/18
1,THOUSAND HILL STATE PARK,20431 STATE HWY 157,KIRKSVILLE,MO,63501,660-665-7119,AP,10/09/18
183,BOONE'S LICK TRAIL INN,1000 SOUTH MAIN ST,ST CHARLES,MO,63301,(636) 947-7000,AP,10/09/18
13,DAYS INN,100 S FRAN AVE,BUTLER,MO,64730,660-679-4544,AP,09/10/18
31,PEAR TREE INN CAPE GIRARDEAU WEST,103 CAPE WEST PARKWAY,CAPE GIRARDEAU,MO,63703,573-651-3000,AP,09/27/2018
209,CALM WATERS RESORT,1043 JAKES CREEK TRAIL,BRANSON,MO,65616,(417)338-8963,AP,10/09/18
183,STAYBRIDGE SUITES,1155 TECHNOLOGY DR,O'FALLON,MO,63368,636-300-0999,AP,11/02/18
31,DRURY SUITES,3303 CAMPSTER DRIVE,CAPE GIRARDEAU,MO,63702,573-339-9500,AP,09/27/2018
19,STAYBRIDGE SUITES,805 KEENE ST,COLUMBIA,MO,65201,573-442-8600,AP,09/13/2018
59,NRO,171 NRO ROAD,LEBANON,MO,65536,417-532-6333,AP,09/20/2018
213,GOLD STAR FAMILY INN,1030 WEST MAIN (HWY 76),BRANSON,MO,65616,417-337-7581,AP,11/14/2018
189,CROWNE PLAZA AIRPORT,11228 LONE EAGLE,BRIDGETON,MO,63044,(314)291-6700,AP,11/30/2018
77,ECONOMY INN,2555 N GLENSTONE AVE,SPRINGFIELD,MO,65803,(417)864-8459,AP,09/27/2018
189,IVY MOTEL,10143 OLIVE ST RD,CREVE COEUR,MO,63141,(314)993-9785,AP,10/01/18
213,BROOKWOOD INN,2875 GREEN MTN DR,BRANSON,MO,65616,(417)336-4600,AP,09/26/2018
109,BEST WESTERN MT. VERNON INN,1200 EAST INDUSTRIAL DRIVE,MT VERNON,MO,65712,(417) 461-0230,AP,09/20/2018
189,SLEEP INN/MAINSTAY SUITES,11225 LONE EAGLE DR.,BRIDGETON,MO,63044,314-344-1954,AP,11/26/2018
77,HAMPTON INN SOUTH,3232 S. GLENSTONE AVE,SPRINGFIELD,MO,65804,417-862-6611,AP,09/10/18
183,BEST WESTERN PLUS- THE CHARLES HOTEL,1425 SOUTH 5TH ST,ST CHARLES,MO,63301,(636) 946-6936,AP,09/18/2018
209,LUNKER LANDING RESORT,275 LUNKER LANDING LANE,SHELL KNOB,MO,65747,(417)858-6717,AP,09/27/2018
510,HAMPTON INN & SUITES AT FOREST PARK,5650 OAKLAND,ST LOUIS,MO,63110,314-655-3993,AP,09/21/2018
189,DOUBLETREE HOTEL & CONFERENCE CENTER,16625 SWINGLEY RIDGE,CHESTERFIELD,MO,63017,(636)532-5000,AP,09/26/2018
161,HOLIDAY INN EXPRESS,1610 OLD WIRE ROAD,ROLLA,MO,65401,573-426-2900,AP,09/27/2018
59,FORT NIANGUA RIVER RESORT,84 CAT HOLLOW TRAIL,LEBANON,MO,65536,(417) 532-4377,AP,09/26/2018
229,WEAVER INN,100 E PARK SQ,MANSFIELD,MO,65704,417-924-2600,AP,09/26/2018
127,BEST WESTERN ON THE RIVER SUITES,321 NORTH 3RD,HANNIBAL,MO,63401,573-248-1150,AP,10/01/18
77,REDWOOD INN,3811 W CHESTNUT EXPY,SPRINGFIELD,MO,65802,(417)864-5959,AP,10/04/18
95,DRURY INN & SUITES-KANSAS CITY INDEPENDENCE,20300 E. 42ND ST SOUTH,BLUE SPRINGS,MO,64015,816-795-9393,AP,10/04/18
47,QUALITY INN & SUITES,601 CENTERVILLE AVE,KEARNEY,MO,64060,(816) 628-5000,AP,11/07/18
510,CHASE PARK PLAZA,212-32 N KINGSHIGHWAY,ST LOUIS,MO,63108,(314) 633-3000,AP,10/18/2018
209,COLONIAL MOUNTAIN INN,10770 EAST HWY 76,BRANSON WEST,MO,65737,(417)272-8414,AP,09/28/2018
37,CARAVAN MOTEL,1705 NORTH 291 HWY,HARRISONVILLE,MO,64701,(816)884-4100,AP,09/13/2018
77,PLAZA INN,2933 N GLENSTONE,SPRINGFIELD,MO,65803,(417)862-4301,AP,11/19/2018
31,CANDLEWOOD SUITES,485 S MT. AUBURN RD,CAPE GIRARDEAU,MO,63701,573-334-6868,AP,10/04/18
77,OASIS HOTEL & CONVENTION CENTER,2546 N GLENSTONE,SPRINGFIELD,MO,65803,417-866-5253,AP,09/26/2018
95,HAMPTON INN LEE'S SUMMIT,1751 NE DOUGLAS,LEE'S SUMMIT,MO,64086,(816) 347-8600,AP,10/09/18
203,CEDAR STONE LODGE,15233 CEDAR STONE DRIVE,EMINENCE,MO,65466,(573)226-5656,AP,09/19/2018
19,HOLIDAY INN EXECUTIVE CENTER,2200 I-70 DRIVE SW,COLUMBIA,MO,65203,573-445-8531,AP,09/13/2018
61,SANDMAN MOTEL,512 SOUTH MAIN,GALLATIN,MO,64640,660-663-2191,AP,09/27/2018
219,RELAX INN,207 ARLINGTON WAY,WARRENTON,MO,63383,636-456-3360,AP,09/26/2018
141,IVY BEND RESORT & MARINA,33321 MARINA DR,STOVER,MO,65078,(573)372-5900,AP,09/17/2018
510,HAMPTON INN,333 WASHINGTON AVE,ST LOUIS,MO,63102,314-621-7900,AP,10/02/18
47,MONTEREY MOTEL LLC,217 VETERANS MEMORIAL DR,EXCELSIOR SPRINGS,MO,64024,(816)637-3171,AP,09/26/2018
77,LA QUINTA INN & SUITES,2535 S CAMPBELL AVE,SPRINGFIELD,MO,65807,417-890-6060,AP,09/28/2018
63,SUPER 8 MOTEL,1710 N WALNUT,CAMERON,MO,64429,(816)632-8888,AP,09/26/2018
159,SUNSET MOTEL,3516 S LIMIT AVE,SEDALIA,MO,65301,(660)826-1446,AP,11/30/2018
29,SILVER SANDS MARINA & RESORT,217 SILVER SANDS ROAD,SUNRISE BEACH,MO,65079,573-374-6820,AP,09/26/2018
127,SUPER 8,120 HUCKELBERRY HGTS DR,HANNIBAL,MO,63401,(573)221-5863,AP,11/01/18
165,ARGOSY CASINO HOTEL & SPA,777 NW ARGOSY PARKWAY,RIVERSIDE,MO,64150,816-746-3100,AP,10/02/18
213,ANGEL INN BY THE STRIP,3029 WEST HIGHWAY 76,BRANSON,MO,65616,(417)336-5151,AP,10/09/18
146,SUPER 8,2830 E 36TH ST,JOPLIN,MO,64804,,AP,09/21/2018
510,MAGNOLIA HOTEL,421 NORTH 8TH STREET,ST LOUIS,MO,63101,314-436-9000,AP,09/18/2018
51,CANDLEWOOD SUITES,3514 AMAZONAS,JEFFERSON CITY,MO,65109,573-634-8822,AP,09/27/2018
209,KING'S COVE RESORT,58 KINGS COVE LANE,REEDS SPRING,MO,65737,417-739-4513,AP,09/28/2018
207,ECONOLODGE,913 SOUTH OUTER RD,DEXTER,MO,63841,(573)624-7400,AP,09/28/2018
47,ECONO LODGE,2232 TANEY ST,NORTH KANSAS CITY,MO,64116,(816) 421-6000,AP,10/02/18
199,SUNRISE MOTEL,556 GRAND AVE HWY 136,MEMPHIS,MO,63555,(660) 465-8541,AP,09/26/2018
161,ECONOMY INN,102 N OUTER ROAD,ST JAMES,MO,65559,(573)265-3256,AP,09/14/2018
183,SLEEP INN & SUITES,150 FOUNTAIN LAKES BLVD,ST CHARLES,MO,63301,(636) 947-0330,AP,09/13/2018
213,DRIFTWATER RESORT LLC,1993 LAKE SHORE DRIVE,BRANSON,MO,65616,417-559-3368,AP,10/11/18
213,EASY LIVING LODGE,220 SOUTH WILDWOOD DR BLDG B,BRANSON,MO,65616,,AP,11/30/2018
111,OAK HILL INN AND SUITES,1701 OAK STREET,CANTON,MO,63435,573-288-8800,AP,10/09/18
189,HOLIDAY INN SOUTH COUNTY CTR,6921 S LINDBERGH,ST LOUIS,MO,63125,314-892-3600,AP,10/01/18
29,LAKE BREEZE RESORT,91 BREEZE DRIVE,CAMDENTON,MO,65020,573-873-5343,AP,09/20/2018
510,HOTEL AVYAN,2625 LAFAYETTE AVE.,ST LOUIS,MO,63104,(314) 773-6500,AP,09/12/18
15,UNCLE GABBYS MOTEL,10825 HIGHWAY 7,CLINTON,MO,64735,660-477-3331,AP,09/21/2018
213,CHATEAU ON THE LAKE,415 N STATE HWY 265,BRANSON,MO,65616,(417)334-1161,AP,10/19/2018
131,ORCHID MOTEL,3420 BAGNELL BLVD,LAKE OZARK,MO,65049,(573) 365-2680,AP,10/25/2018
207,DEXTER INN,1807 BUS 60 WEST,DEXTER,MO,63841,(573)624-7465,AP,10/11/18
189,TOWNE PLACE SUITES BY MARRIOT,1662 FENTON BUSINESS PARK CT.,FENTON,MO,63026,636-305-7000,AP,09/21/2018
213,HILTON BRANSON CONVENTION CENTER HOTEL,200 EAST MAIN ST,BRANSON,MO,65616,417-243-3400,AP,09/21/2018
153,OZARK PLAZA,43 VAUGHT'S DRIVE,GAINESVILLE,MO,65655,417-679-1080,AP,09/14/2018
77,BAYMONT INN AND SUTIES,1610 E EVERGREEN,SPRINGFIELD,MO,65803,417-520-8800,AP,10/01/18
109,AURORA INN MOTEL,3037 E. ELLIOTT,AURORA,MO,65605,(417)678-5035,AP,10/04/18
71,OLD DUTCH HOTEL,227 ELM STREET,WASHINGTON,MO,63090,636-390-4400,AP,09/14/2018
95,HOLIDAY INN EXPRESS HOTEL & SUITES,12801 SOUTH 71 HWY,GRANDVIEW,MO,64030,816-268-5858,AP,09/20/2018
510,GRAND MOTEL,2534 N GRAND AVE,ST LOUIS,MO,63106,(314) 534-9164,AP,09/07/18
213,CABINS AT GREEN MOUNTAIN,3864 GREEN MT. DR.,BRANSON,MO,65616,417-332-3238,AP,10/09/18
77,HAMPTON INN SOUTHEAST,3370 E. MONTCLAIR ST,SPRINGFIELD,MO,65804,417-882-1003,AP,09/18/2018
9,TIMBERS RESORT,22351 WHITE ROCK LN,SHELL KNOB,MO,65747,417-858-2723,AP,09/28/2018
189,DRURY PLAZA HOTEL CHESTERFIELD,355 CHESTERFIELD CENTER EAST,CHESTERFIELD,MO,63017,636-532-3300,AP,10/09/18
83,USA INN,1508 N 2ND ST,CLINTON,MO,64735,660-885-2267,AP,09/12/18
213,BALDKNOBBERS MOTOR INN,2843 W HWY 76,BRANSON,MO,65616,(417)334-7948,AP,10/04/18
179,JOHNSON'S SHUT-INS STATE PARK,148 TAUM SAUK TRAIL,MIDDLE BROOK,MO,63656,573-546-7855,AP,10/18/2018
159,HOLIDAY INN EXPRESS HOTEL & SUITES,4001 WEST BROADWAY,SEDALIA,MO,65301,660-826-4000,AP,09/26/2018
77,TOWNPLACE SUITES BY MARRIOTT,2009 S. NATIONAL AVE,SPRINGFIELD,MO,65804,417-881-8118,AP,09/13/2018
179,DEER CREEK CAMPGROUND LLC,628 COUNTY ROAD 200,LESTERVILLE,MO,63654,573-637-2255,AP,09/13/2018
203,HICKORY HOUSE INN & SUITES,9177 ST. HWY 99,BIRCH TREE,MO,65438,573-292-1101,AP,10/11/18
19,RAMADA INN & SUITES,901 CONLEY ROAD,COLUMBIA,MO,65201,573-443-4141,AP,09/27/2018
213,FALL CREEK INN & SUITES,995 S HWY 165,BRANSON,MO,65616,417-348-1683,AP,10/09/18
29,QUAIL'S NEST MOTEL,4644 OSAGE BEACH PARKWAY,OSAGE BEACH,MO,65065,(573)348-2834,AP,10/01/18
37,HARRISONVILLE INN & SUITES,2201 ROCK HAVEN RD,HARRISONVILLE,MO,64701,(816)884-3200,AP,09/14/2018
161,HAMPTON INN,2201 N. BISHOP,ROLLA,MO,65401,573-308-1060,AP,09/19/2018
95,DAYS INN,451 NW JEFFERSON,BLUE SPRINGS,MO,64014,(816)224-1199,AP,09/12/18
213,TRAVEL INN NORTH,251 EXPRESSWAY LANE,BRANSON,MO,65616,417-230-7334,AP,10/11/18
9,AMERICA'S BEST VALUE INN,101 SOUTH HIGHWAY 37,CASSVILLE,MO,65625,417-847-4888,AP,09/12/18
213,SOUTHERN OAKS INN,3295 SHEPHERD OF HILLS EXPWY,BRANSON,MO,65616,(417)335-8108,AP,11/06/18
153,RAINBOW TROUT & GAME RANCH,4297 COUNTY ROAD 142,ROCKBRIDGE,MO,65741,(417)679-3619,AP,10/01/18
103,T & T MOTEL,609 E LAFAYETTE ST,EDINA,MO,63537,660-397-2215,AP,11/06/18
93,FORT DAVIDSON MOTEL,HWY 21 & 221,PILOT KNOB,MO,63663,(573)546-7427,AP,09/13/2018
189,MOTEL 6,12230 DORSETT RD,MARYLAND HEIGHTS,MO,63043,314-878-1212,AP,11/14/2018
203,SHADY LANE CABINS & MOTEL,19105 STATE HWY 19,EMINENCE,MO,65466,(573)226-3893,AP,10/02/18
189,HAMPTON INN & SUITES,5 MCBRIDE & SON CENTER DRIVE,CHESTERFIELD,MO,63005,(636) 530-0770,AP,10/11/18
85,GOODY'S RESORT,21222 COUNTY ROAD 191,FLEMINGTON,MO,65650,417-282-6338,AP,10/04/18
510,RESIDENCE INN BY MARRIOTT,525 S. JEFFERSON,ST LOUIS,MO,63103,314-289-7500,AP,10/04/18
23,HOLIDAY INN,2781 N. WESTWOOD,POPLAR BLUFF,MO,63901,573-776-1200,AP,09/18/2018
209,AMBER ACRES RESORT,31 WOODCLIFF,SHELL KNOB,MO,65747,417-858-3971,AP,10/15/2018
209,MILL CREEK RESORT,548 OLD MILL ROAD,LAMPE,MO,65681,417-779-5205,AP,10/04/18
213,HOLIDAY INN EXPRESS HOTEL & SUITES,1970 W HWY 76,BRANSON,MO,65616,(417)336-1100,AP,11/02/18
209,LAZY LEE'S RESORT,49 LAZY LEE LANE,BRANSON WEST,MO,65737,(417)338-2253,AP,09/26/2018
169,HOLIDAY INN EXPRESS,605 HWY Z,ST. ROBERT,MO,65584,573-336-2299,AP,10/09/18
201,COUNTRY HEARTH INN,100 MATTHEWS LANE,SIKESTON,MO,63801,(573)472-4400,AP,09/21/2018
209,INDIAN HILLS RESORT,190 NAVAJO HILLS RESORT LOOP,SHELL KNOB,MO,65747,(417)858-6243,AP,09/18/2018
51,FAIRFIELD INN,3621 W. TRUMAN BLVD,JEFFERSON CITY,MO,65109,573-761-0400,AP,09/27/2018
213,TROUT HOLLOW LODGE,1458 ACACIA CLUB RD,HOLLISTER,MO,65672,(417)334-2332,AP,09/26/2018
213,BRANSON HOTEL,214 W. MAIN ST,BRANSON,MO,65616,417-544-9814,AP,09/28/2018
183,HAMPTON INN,3720 WEST CLAY,ST CHARLES,MO,63301,(636) 947-6800,AP,11/14/2018
107,CLASSIC MOTEL,2700 HIGHWAY 13,HIGGINSVILLE,MO,64037,660-584-2727,AP,09/26/2018
213,SUPER 8 - BRANSON,2490 GREEN MOUNTAIN DRIVE,BRANSON,MO,65616,(417)334-8880,AP,11/07/18
155,DEERFIELD INN,1029 N. WALNUT STREET,STEELE,MO,63877,573-695-9900,AP,09/28/2018
85,NEMO BRIDGE RESORT,25654 DOVE DRIVE,PITTSBURG,MO,65724,(417)852-4201,AP,09/27/2018
85,COOPER COVE RESORT,20687 COUNTY ROAD 221 LOOP,FLEMINGTON,MO,65650,(417)282-5210,AP,09/17/2018
213,CRESCENT COURT,309 VETERANS BLVD.,BRANSON,MO,65616,417-334-3249,AP,10/15/2018
77,LAMPLIGHTER INN  & SUITES SOUTH,1772 S GLENSTONE AVE,SPRINGFIELD,MO,65804,(417) 882-1113,AP,09/28/2018
9,SUPER 8,201 HESS DRIVE,MONETT,MO,65708,417-236-9200,AP,09/13/2018
209,ROCK LANE RESORT,611 ROCK LANE,BRANSON,MO,65611,(417)338-2211,AP,09/12/18
127,HOLIDAY INN EXPRESS AND SUITES,120 SHINN LANE,HANNIBAL,MO,63401,573-248-3000,AP,09/27/2018
19,THE BROADWAY A DOUBLE TREE HILTON,1111 E. BROADWAY,COLUMBIA,MO,65201,573-875-7000,AP,09/14/2018
139,COLONIAL INN,974 TREE FARM RD,HIGH HILL,MO,63350,(636) 585-2216,AP,09/10/18
19,SUBURBAN EXTENDED STAY,3100 WINGATE CT,COLUMBIA,MO,65201,573-817-0525,AP,09/27/2018
225,AMERICA'S BEST VALUE INN,1000 E CLINTON,SEYMOUR,MO,65746,(417) 935-9888,AP,09/11/18
9,OAK HILL COURT,21778 HWY 112,CASSVILLE,MO,65625,417-847-0291,AP,09/21/2018
209,FOX FIRE RESORT,751 JOHN THE DIVER TRAIL,BRANSON,MO,65616,(417)338-2119,AP,09/28/2018
65,REED'S CABINS & TACKLE,9300 HWY 119,SALEM,MO,65560,(573)548-2222,AP,09/21/2018
77,LAMPLIGHTER INN & SUITES NORTH,2820 N GLENSTONE AVE,SPRINGFIELD,MO,65803,(417) 887-5658,AP,09/28/2018
77,BEST WESTERN PLUS,4445 W CHESTNUT EXPWY,SPRINGFIELD,MO,65802,417-799-2200,AP,10/04/18
173,"GARTH WOODSIDE MANSION BED & BREAKFAST, INC.",11069 NEW LONDON GRAVEL RD,HANNIBAL,MO,63401,(573)221-2789,AP,10/01/18
153,PONTIAC LODGE,HWY W,PONTIAC,MO,65729,(417) 679-4169,AP,10/01/18
157,BUDGET INN,221 S KINGSHIGHWAY,PERRYVILLE,MO,63775,(573)547-4516,AP,10/01/18
183,QUALITY INN,12 HWY W,FORISTELL,MO,63348,(636) 673-2900,AP,09/19/2018
189,RENAISSANCE ST LOUIS HOTEL,9801 NATURAL BRIDGE,ST LOUIS,MO,63134,(314)429-1100,AP,09/12/18
213,QUALITY INN,2834 W HWY 76,BRANSON,MO,65616,(417)334-1194,AP,11/13/2018
213,BRANSON VILLAS,1900 WEST 76 COUNTRY BLVD,BRANSON,MO,65616,417-334-5600,AP,10/25/2018
29,CLOVERLEAF BAY RESORT,915 SHAWNEE BEND ONE,SUNRISE BEACH,MO,65079,573-374-1038,AP,09/20/2018
209,TANGLEFOOT RESORT,PO BOX 1052,BRANSON WEST,MO,65737,417-338-2508,AP,09/21/2018
213,D'MONACO RESORT,4125 STATE HWY 86,RIDGEDALE,MO,65739,417-779-7100,AP,09/27/2018
165,RIVERSIDE MOTEL,4717 NW GATEWAY,RIVERSIDE,MO,64150,(816)587-3955,AP,09/21/2018
209,HOLIDAY HIDE AWAY RESORT,10 HOLIDAY HIDE AWAY COURT,REEDS SPRING,MO,65737,(417)739-4542,AP,09/27/2018
77,WELCOME INN,3550 EAST EVERGREEN,SPRINGFIELD,MO,65803,816-368-1646,AP,10/01/18
37,COMFORT INN,17205 S 71 HWY,BELTON,MO,64012,(816) 322-8700,AP,11/16/2018
81,SUPER 8 MOTEL,811 SOUTH 37TH ST,BETHANY,MO,64424,(816) 632-2119,AP,09/28/2018
209,GOLDEN ARROW RESORT,2869 INDIAN POINT RD,BRANSON,MO,65616,(417)338-2245,AP,09/12/18
213,BRANSON INN AT FALL CREEK,2456 STATE HWY 165,BRANSON,MO,65616,417-332-0300,AP,10/30/2018
189,HOLIDAY INN SOUTHWEST ROUTE 66,10709 WATSON ROAD,SUNSET HILLS,MO,63127,(314)821-6600,AP,10/15/2018
213,ANGEL INN NEAR IMAX,3311 SHEPHERD HLS EX,BRANSON,MO,65616,(417)334-2300,AP,10/15/2018
189,SPRING HILL SUITES,3099 S RIDER TRAIL DR.,BRIDGETON,MO,63044,314-739-9991,AP,10/01/18
203,ECHO BLUFF STATE PARK,34489 ECHO BLUFF DRIVE,EMINENCE,MO,65466,844-322-3246,AP,10/18/2018
95,COURTYARD MARRIOTT,1500 NE CORONADO DR,BLUE SPRINGS,MO,64014,(816) 228-8100,AP,09/14/2018
183,SUPER 8 - O'FALLON,987 W TERRA LANE,O'FALLON,MO,63366,636-272-7272,AP,09/27/2018
163,SUPER 8 MOTEL,1216 E CHAMP CLARK,BOWLING GREEN,MO,63334,(573)324-6000,AP,09/27/2018
213,CAPRICE MOTOR INN,3410 W HWY 76,BRANSON,MO,65616,(417)334-8555,AP,11/30/2018
213,THE OLDE ENGLISH INN,24 DOWNING STREET,HOLLISTER,MO,65672,417-544-9056,AP,09/27/2018
181,NORTHEND MOTEL,1307 WALNUT,DONIPHAN,MO,63935,(573)996-2164,AP,09/28/2018
77,FLAGSHIP MOTEL,2209 N GLENSTONE AVE,SPRINGFIELD,MO,65803,(417)864-8560,AP,09/21/2018
223,TOTTEN'S LAKSESIDE RESORT,HC 4 BOX 4020,WAPPAPELLO,MO,63966,(573)222-8571,AP,11/16/2018
195,SUMMERLAND FLATS,29981 HWY N,MALTA BEND,MO,65339,,AP,
27,BAYMONT INN AND SUITES,2205 CARDINAL DRIVE,FULTON,MO,65251,573-642-2600,AP,11/05/18
145,SUPER 8 MOTEL,3085 GARDNER EDGEWOOD DR,NEOSHO,MO,64850,417-455-1888,AP,09/27/2018
95,BEST WESTERN PLUS,4825 NE LAKEWOOD WAY,LEE'S SUMMIT,MO,64064,(816)795-6400,AP,09/28/2018
63,GUEST HOUSE ACORN INN,2210 US HIGHWAY 36,CAMERON,MO,64429,(816)632-2187,AP,09/27/2018
146,QUALITY INN,3325 SOUTH ARIZONA,JOPLIN,MO,64804,417-627-0440,AP,09/13/2018
47,MARRIOTT TOWNPLACE SUITES,130 S STEWARD ROAD,LIBERTY,MO,64068,,AP,10/04/18
97,BEST BUDGET INN,13008 HWY 96 E,CARTHAGE,MO,64836,(417)358-6911,AP,10/04/18
47,SUPER 8 MOTEL,88 STONEBRIDGE LANE,SMITHVILLE,MO,64089,(816)532-3088,AP,09/17/2018
119,GRACIE'S CANOE CAMP,324 CANOE CAMP LANE,NOEL,MO,64856,417-223-4413,AP,10/01/18
71,COMFORT INN,736 S SERVICE ROAD WEST,SULLIVAN,MO,63080,573-468-7800,AP,09/26/2018
209,EDGEWATER VILLA RESORT,392 EAGLE DRIVE,REEDS SPRING,MO,65737,417-739-4585,AP,10/01/18
141,WATER'S EDGE MOTEL,25587 HIGHWAY 5,GRAVOIS MILLS,MO,65037,(573) 372-2201,AP,09/28/2018
77,SPRINGFIELD INN,2355 N GLENSTONE,SPRINGFIELD,MO,65803,(417)866-6776,AP,10/15/2018
213,HILLCREST INN,1109 W 76 HWY,BRANSON,MO,65616,417-334-2095,AP,10/01/18
97,QUALITY INN & SUITES PRECIOUS MOMENTS HOTEL,2701 HAZEL,CARTHAGE,MO,64836,(417)359-5900,AP,11/01/18
151,DAUPHINE HOTEL BED & BREAKFAST INN,100 IRIS AVENUE,BONNOTS MILL,MO,65016,(573) 897-4144,AP,09/26/2018
139,AMERICA'S BEST INN & SUITES,1 PROACTIVE DRIVE,NEW FLORENCE,MO,63363,(573)835-2900,AP,09/13/2018
213,BRANSON EXPRESS INN,1325 W. HWY 76,BRANSON,MO,65616,417-334-0600,AP,09/21/2018
29,SUMMERSET INN RESORT,1165 JEFFRIES RD,OSAGE BEACH,MO,65065,573-348-5073,AP,09/21/2018
213,PLATO'S CAVE,3524 KEETER STREET,BRANSON,MO,65616,,AP,09/26/2018
37,SLUMBER INN,21400 E 275TH ST,HARRISONVILLE,MO,64701,(816)884-3100,AP,09/13/2018
189,HOMEWOOD SUITES RIVERPORT,13639 RIVERPORT DRIVE,MARYLAND HEIGHTS,MO,63043,314-739-3900,AP,09/14/2018
510,HOLIDAY INN DOWNTOWN ST LOUIS,811 NORTH 9TH STREET,ST LOUIS,MO,63101,(314)421-4000,AP,09/18/2018
53,HOLIDAY INN EXPRESS,2419 MID-AMERICA INDUSTRIAL DR,BOONVILLE,MO,65233,660-882-6882,AP,09/26/2018
77,MANSION AT ELFINDALE,1701 SOUTH FORT AVE,SPRINGFIELD,MO,65807,(417)831-5400,AP,10/09/18
137,DRY DOCK RESTAURANT & MOTEL (THE),18340 MONROE ROAD 489,STOUTSVILLE,MO,65283,573-560-0084,AP,10/09/18
213,E-Z CENTER MOTEL,1901 WEST 76 HWY,BRANSON,MO,65615,(417)334-8200,AP,11/07/18
83,PARKFIELD INN,506 KANSAS AVENUE,CLINTON,MO,64735,(660) 890-6188,AP,09/14/2018
183,COURTYARD BY MARRIOTT ST. PETERS,4341 VETERAN'S MEMORIAL PARKWAY,ST. PETERS,MO,63376,636-477-6900,AP,09/26/2018
47,INN ON CRESCENT LAKE,1261 ST LOUIS AVE,EXCELSIOR SPRINGS,MO,64024,(816)630-6745,AP,09/14/2018
213,TANEYCOMO LAKE FRONT RESORT,365 VALENCIA RD,BRANSON,MO,65616,417-334-7375,AP,10/19/2018
209,GOBBLERS MOUNTAIN RESORT,595 TOM TURKEY CIRCLE,BRANSON WEST,MO,65737,(417)338-2304,AP,09/13/2018
213,BEST WESTERN LANDING VIEW INN & SUITES,403 W MAIN,BRANSON,MO,65616,(417)334-6464,AP,10/18/2018
213,GREEN MOUNTAIN INN,2825 GREEN MT DR,BRANSON,MO,65616,417-263-0364,AP,10/25/2018
213,LYNINA INN,2772 SHEPERD HILL EXPWY,BRANSON,MO,65616,(417)335-2277,AP,10/18/2018
83,WINDSOR CROSSROADS MOTEL,606 N MAIN ST,WINDSOR,MO,65360,660-647-2151,AP,09/13/2018
